id,cameraUsage,alertType,observationDateTime,junctionName,vehicleType,location.type,location.coordinates
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:15:32+05:30,PromenadeWheelresroadJn,Motorbike,Point,"[77.61448, 12.991661]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:15:33+05:30,Aishwarya-JN,Motorbike,Point,"[77.633651, 12.924831]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:15:34+05:30,80feetoldmadradroad,Car,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:15:36+05:30,Aishwarya-JN,Car,Point,"[77.633651, 12.924831]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:15:38+05:30,80feetoldmadradroad,Car,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:15:40+05:30,Aishwarya-JN,Car,Point,"[77.633651, 12.924831]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:15:40+05:30,Aishwarya-JN,Motorbike,Point,"[77.633651, 12.924831]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:15:41+05:30,80feetoldmadradroad,Car,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,STOP_LINE_VIOLATION,2024-04-02 09:15:42+05:30,DosusaCircle,Car,Point,"[77.611378, 12.967623]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,RED_LIGHT_VIOLATION_DETECTION,2024-04-02 09:15:42+05:30,DosusaCircle,Auto,Point,"[77.611378, 12.967623]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:15:42+05:30,TCPalayaJN,Car,Point,"[77.704469, 13.017111]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:15:43+05:30,TCPalayaJN,Car,Point,"[77.704469, 13.017111]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,RED_LIGHT_VIOLATION_DETECTION,2024-04-02 09:15:44+05:30,DosusaCircle,Motorbike,Point,"[77.611378, 12.967623]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:15:49+05:30,80feetoldmadradroad,Car,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:15:50+05:30,CALCross,Motorbike,Point,"[77.59061, 13.010052]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:15:52+05:30,80feetoldmadradroad,Car,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,RED_LIGHT_VIOLATION_DETECTION,2024-04-02 09:15:53+05:30,chikkapetTPS-Jn,Motorbike,Point,"[77.57168, 12.960574]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:15:54+05:30,80feetoldmadradroad,Car,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:00+05:30,TeachersJn,Car,Point,"[77.580053, 12.943633]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:00+05:30,80feetoldmadradroad,Car,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:16:00+05:30,RamaiahHospital,Undetermined,Point,"[77.57128, 13.028377]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:16:02+05:30,TCPalayaJN,Car,Point,"[77.704469, 13.017111]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:16:02+05:30,PromenadeWheelresroadJn,Motorbike,Point,"[77.61448, 12.991661]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:03+05:30,CALCross,Car,Point,"[77.59061, 13.010052]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:03+05:30,CALCross,Motorbike,Point,"[77.59061, 13.010052]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:03+05:30,80feetoldmadradroad,Car,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,STOP_LINE_VIOLATION,2024-04-02 09:16:04+05:30,Mariyappacircle,Auto,Point,"[77.63721, 13.022783]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:16:04+05:30,SampigeRoad,Motorbike,Point,"[77.571138, 13.008491]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,NO_HELMET,2024-04-02 09:16:04+05:30,SampigeRoad,Motorbike,Point,"[77.571138, 13.008491]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:05+05:30,80feetoldmadradroad,Car,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:05+05:30,TeachersJn,Auto,Point,"[77.580053, 12.943633]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:07+05:30,80feetoldmadradroad,Car,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:16:07+05:30,80feetoldmadradroad,Motorbike,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:16:10+05:30,BhashyamCircle,Motorbike,Point,"[77.578765, 13.006399]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:13+05:30,80feetoldmadradroad,Car,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:16:14+05:30,PromenadeWheelresroadJn,Motorbike,Point,"[77.61448, 12.991661]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,RED_LIGHT_VIOLATION_DETECTION,2024-04-02 09:16:16+05:30,SwamiVivekananda,Auto,Point,"[77.631421, 12.981592]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:16:19+05:30,TCPalayaJN,Carrier,Point,"[77.704469, 13.017111]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:19+05:30,80feetoldmadradroad,Motorbike,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,RED_LIGHT_VIOLATION_DETECTION,2024-04-02 09:16:20+05:30,SwamiVivekananda,Motorbike,Point,"[77.631421, 12.981592]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:16:20+05:30,TCPalayaJN,Car,Point,"[77.704469, 13.017111]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:20+05:30,TeachersJn,Car,Point,"[77.580053, 12.943633]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:21+05:30,80feetoldmadradroad,Car,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:21+05:30,JPnagar-8thmain-9thcross,Motorbike,Point,"[77.595183, 12.910289]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,RED_LIGHT_VIOLATION_DETECTION,2024-04-02 09:16:22+05:30,sadashivanagar-jn,Auto,Point,"[77.57275, 13.01463]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:22+05:30,TeachersJn,Motorbike,Point,"[77.580053, 12.943633]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,RED_LIGHT_VIOLATION_DETECTION,2024-04-02 09:16:23+05:30,SwamiVivekananda,Car,Point,"[77.631421, 12.981592]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,RED_LIGHT_VIOLATION_DETECTION,2024-04-02 09:16:24+05:30,sadashivanagar-jn,Motorbike,Point,"[77.57275, 13.01463]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,RED_LIGHT_VIOLATION_DETECTION,2024-04-02 09:16:25+05:30,sadashivanagar-jn,Car,Point,"[77.57275, 13.01463]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:25+05:30,80feetoldmadradroad,Motorbike,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:25+05:30,80feetoldmadradroad,Motorbike,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:25+05:30,80feetoldmadradroad,Motorbike,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:16:26+05:30,PromenadeWheelresroadJn,Motorbike,Point,"[77.61448, 12.991661]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:30+05:30,Aishwarya-JN,Car,Point,"[77.633651, 12.924831]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:30+05:30,TeachersJn,Car,Point,"[77.580053, 12.943633]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,RED_LIGHT_VIOLATION_DETECTION,2024-04-02 09:16:33+05:30,sadashivanagar-jn,Car,Point,"[77.57275, 13.01463]"
